data_id,reporting_date,metric_id,value,currency,entity_id
1,31-01-2023,1,2498.16,INR,E148
2,31-08-2023,3,975357.15,INR,E115
3,31-12-2024,2,139.2,INR,E107
4,31-03-2023,5,116.9732,%,E138
5,28-02-2023,4,1.656,x,E102
6,31-07-2023,1,1623.98,INR,E115
7,31-08-2024,5,106.1617,%,E102
8,31-07-2023,5,122.3235,%,E146
9,29-02-2024,5,117.0223,%,E115
10,31-07-2024,4,2.2081,x,E118
11,31-01-2025,1,1082.34,INR,E111
12,30-11-2023,4,2.4699,x,E118
13,31-07-2023,2,199.47,INR,E149
14,30-04-2023,3,606169.56,INR,E106
15,30-04-2023,4,1.6818,x,E123
16,31-08-2024,3,591702.25,INR,E117
17,31-12-2024,1,2216.97,INR,E130
18,30-04-2023,5,115.4951,%,E125
19,30-06-2024,1,2727.78,INR,E119
20,31-05-2025,5,110.8246,%,E124
21,31-07-2023,5,117.2371,%,E146
22,28-02-2023,1,1557.98,INR,E143
23,31-01-2025,2,-124.71,INR,E119
24,30-04-2025,1,2465.45,INR,E115
25,31-01-2024,1,2824.28,INR,E118
26,30-09-2024,4,2.2852,x,E124
27,31-12-2023,2,-180.2,INR,E123
28,31-10-2024,2,8.54,INR,E118
29,31-08-2024,1,3369.66,INR,E141
30,30-06-2024,2,-272.13,INR,E147
31,30-06-2023,2,64.53,INR,E130
32,30-09-2023,4,1.6705,x,E141
33,31-08-2023,5,106.301,%,E144
34,31-03-2025,3,974442.77,INR,E150
35,31-08-2023,1,4862.53,INR,E103
36,31-01-2024,3,904198.67,INR,E118
37,31-07-2023,1,2218.46,INR,E137
38,31-07-2023,3,548836.06,INR,E142
39,31-01-2024,4,2.1842,x,E142
40,31-05-2023,4,1.9402,x,E117
41,31-08-2023,2,-226.78,INR,E148
42,30-06-2024,5,114.9035,%,E117
43,29-02-2024,5,105.6878,%,E138
44,31-12-2023,4,2.4093,x,E115
45,31-05-2024,2,-144.73,INR,E132
46,31-01-2025,1,3650.09,INR,E104
47,31-05-2023,1,2246.84,INR,E141
48,28-02-2025,2,12.04,INR,E144
49,31-08-2024,4,2.0467,x,E105
50,31-01-2024,4,1.6849,x,E139
51,31-05-2024,4,2.4696,x,E117
52,30-04-2025,5,120.5027,%,E101
53,31-10-2024,1,4758,INR,E135
54,31-01-2025,3,947413.68,INR,E142
55,30-04-2023,3,798949.99,INR,E119
56,30-06-2023,4,2.4219,x,E130
57,31-12-2024,1,1353.97,INR,E147
58,31-05-2024,3,597991.43,INR,E149
59,31-05-2024,2,-272.86,INR,E107
60,31-03-2025,3,662665.17,INR,E141
61,31-08-2024,5,112.7735,%,E113
62,31-12-2023,2,-137.19,INR,E149
63,30-06-2024,2,197.24,INR,E150
