comparision_id,reporting_date,metric_id,current_value,prior_period_value,prior_year_value,mom_change_per,yoy_change_per,narrative_status
1,31-03-2023,1,1301846.11,1259424.29,1146904.4,3.37,13.51,Strong Growth
2,30-06-2023,2,36.67,36.48,34.9,0.52,5.07,Minor Growth
3,31-03-2025,4,1.85,1.91,2.13,-3.14,-13.15,Major Decline
4,31-12-2024,4,2.38,2.37,2.25,0.42,5.78,Minor Growth
5,31-12-2023,2,-100.77,-97.77,-105.52,3.07,-4.5,Minor Decline
6,31-03-2023,2,-282.14,-286.82,-255.31,-1.63,10.51,Strong Growth
7,31-12-2024,1,4503553.89,4315932.27,4504258.63,4.35,-0.02,Stable
8,31-12-2024,3,97829662.46,97837699.72,109163614.4,-0.01,-10.38,Major Decline
9,30-06-2023,3,75101848.34,72431905.3,69173222.18,3.69,8.57,Minor Growth
10,30-09-2024,3,71702658.68,73824801.68,69999167.19,-2.87,2.43,Minor Growth
11,30-06-2023,4,2.43,2.51,2.21,-3.19,9.95,Minor Growth
12,30-06-2023,2,-211.61,-203.09,-200.01,4.2,5.8,Minor Growth
13,30-09-2023,4,1.61,1.66,1.43,-3.01,12.59,Strong Growth
14,31-03-2023,2,4.54,4.56,5.23,-0.44,-13.19,Major Decline
15,31-03-2024,2,-249.58,-244.89,-230.44,1.92,8.31,Minor Growth
16,31-12-2023,2,220.2,220.14,232.14,0.03,-5.14,Minor Decline
17,30-09-2023,5,117.51,116.13,136.58,1.19,-13.96,Major Decline
18,30-09-2023,2,263.28,259.58,309.04,1.43,-14.81,Major Decline
19,30-06-2024,1,4838536.81,4629004.48,4267630.58,4.53,13.38,Strong Growth
20,30-09-2024,3,94444939.23,97520380.74,82618015.95,-3.15,14.32,Strong Growth
21,31-03-2025,1,4047729.8,3991545.99,3573204.07,1.41,13.28,Strong Growth
22,30-06-2023,3,69054363.65,66198754.64,66932253.09,4.31,3.17,Minor Growth
23,31-12-2024,1,3317189.46,3269471.07,3082179.15,1.46,7.62,Minor Growth
24,30-06-2025,5,113.9,108.68,129.94,4.8,-12.34,Major Decline
25,30-06-2023,5,123.28,121.37,109.78,1.57,12.3,Strong Growth
26,30-06-2024,2,-78.74,-76.23,-76.09,3.29,3.48,Minor Growth
